case_id,seq,label,date,name,code,tag_main,tag_sub,tag_full,g_ref,source,evidence
CASE-0001,1,실패,2023-03-16,서진오토모티브,122690,상따,상한가풀림,상따/상한가풀림,G4125,6-1권 p.106 / G4125 + KRX 실측,"전일종가 3,230 → 상한가 4,199 / 실측 H **4,195** L 3,025 C 3,905 (**+20.9%**) = 상한가권 도달 후 풀림"
CASE-0002,2,실패,2023-03-16,에이에프더블류,312610,상따,상한가풀림,상따/상한가풀림,G4125,6-1권 p.106 / G4125 + KRX 실측,"전일종가 3,705 → 상한가 4,816 / 실측 H **4,815** L 3,550 C 4,345 (**+17.27%**) = 고점 도달 후 종가까지 우하향"
CASE-0003,3,실패,2024-04-12,엔터파트너즈,058450,상따,상한가풀림,상따/상한가풀림,G4126,6-1권 p.107 / G4126 + KRX 실측,"전일종가 4,550 → 상한가 5,915 / 실측 H **5,910** L 5,000 C 5,400 (**+18.68%**) = 상한가 도달 후 풀림"
CASE-0004,4,실패,2024-04-11,이스타코,015020,상따,상한가풀림,상따/상한가풀림,G4126,6-1권 p.107 / G4126 + KRX 실측,"실측 H **1,003** L **772** C 892 (+15.54%) = 노트 기록(최고 1,003 09:10 / 최저 772 15:30)과 완전 일치"
CASE-0005,5,실패,2023-03-14,일진전기,103590,상따,손절기준,상따/손절기준,G4128;G4130;G4131,6-1권 p.109~112 / G4128·G4130·G4131 + KRX 실측,"실측 H **6,690** L **4,825** C 5,430 (**+5.44%**) = 노트 3개 수치 완전 일치. 고점→종가 -18.8%, 고점→저가 -27.9% (저자 ""-20% 이상 하락"" 서술)"
CASE-0006,6,실패,2024-04-08,세기상사,002420,상따,상한가마감,상따/상한가마감,G4132,6-1권 p.113 / G4132 + KRX 실측,"실측 H **7,250** L 5,530 C **7,250** (**+29.93%**) = **상한가 마감**. ※노트 최저 5,528은 판독 2자리 오차(실측 5,530). ★실측은 상한가 마감이나 저자 제시 목적은 whipsaw 리스크 예시 → 라벨 정의(저자 목적 기준)에 따라 실패. 최종 상한가 마감 사실은 2회 재도전 규칙(G4135) 적용 시 결과가 갈릴 수 있음을 보여주는 근거로 보존"
CASE-0007,7,실패,2024-04-09,솔루스첨단소재,336370,상따,상한가마감,상따/상한가마감,G4132,6-1권 p.113 / G4132 + KRX 실측,"실측 H=C **19,900** (**+29.98%**) = **상한가 마감**. 노트 ""최고 19,900(15:00)·네모박스=고점 부근 상단 횡보""와 정합. ★실측은 상한가 마감이나 저자 제시 목적은 whipsaw 리스크 예시 → 라벨 정의(저자 목적 기준)에 따라 실패. 최종 상한가 마감 사실은 2회 재도전 규칙(G4135) 적용 시 결과가 갈릴 수 있음을 보여주는 근거로 보존"
CASE-0008,8,실패,2024-04-05,중앙에너비스,000440,상따,상한가반복풀림,상따/상한가반복풀림,G4134,6-1권 p.114 / G4134 + KRX 실측,"실측 O 19,410 / **H=C 23,600** / L 19,410 (**+29.81%, 상한가 마감**). 전일 04/04: H 18,590 / L 18,010 / C 18,180 (-2.26%) — ★노트 최저 18,010(15:15)은 **04/04 값**. ★라벨=실패: 저자가 whipsaw 리스크 예시로 제시(라벨 정의=저자 목적), 실측 상한가 마감은 보존"
CASE-0009,9,실패,2024-04-02,씨엔알리서치,359090,상따,상한가반복풀림,상따/상한가반복풀림,G4134,6-1권 p.114 / G4134 + KRX 실측,"실측 O 1,246 / **H=C 1,602** / L 1,229 (**+29.93%, 상한가 마감**) — 노트 최고·최저·현재가와 완전 일치. ★라벨=실패(저자 whipsaw 예시), 실측 상한가 마감 보존"
CASE-0010,10,실패,2024-04-02,강스템바이오텍,217730,상따,상한가반복풀림,상따/상한가반복풀림,G4136,6-1권 p.116 / G4136 + KRX 실측,"실측 O 1,919 / **H=C 2,460** / L 1,894 (**+29.82%, 상한가 마감**). 전일 04/01: L 1,860 / C 1,895. ★★최저 1,886(13:12)=**구간 최저이지 일봉 저가 아님**(04/01 L 1,860·04/02 L 1,894 어느 것과도 불일치=분봉 구간값, 삼성제약 2,575·서남 7,930과 동일 유형). ★라벨=실패(저자 whipsaw 예시), 실측 상한가 마감 보존"
CASE-0011,11,성공,2022-09-14,코리아에스이,101670,낙폭과대(낙주),화살표일,낙폭과대(낙주)/화살표일,G4909,"스윙 3권 03_3권 p.322 / G4909 + KRX 실측(2026-08-05 대조, 전 항목 일치)","화살표 정보 박스: O 11,750(+5.38%) / H 12,050(+8.07%) / L 9,250(-17.04%) / C 9,800(-12.11%) / 거래대금 78,628백만(+171%). 재료=태풍 힌남노·지피클럽 피인수·리튬. ★낙폭과대 화살표일(장대음봉)→익일 단기 바닥 후 상한가(저자 ""낙주 매매 가능"" 사례로 제시=성공)"
CASE-0012,12,성공,2022-09-19,금양,001570,낙폭과대(낙주),화살표일,낙폭과대(낙주)/화살표일,G4910,"스윙 3권 03_3권 p.325 / G4910 + KRX 실측(2026-08-05 대조, 전 항목 일치)","화살표 정보 박스: O 20,750(+0.97%) / H 20,850(+1.46%) / L 16,100(-21.65%) / C 17,300(-15.82%) / 거래대금 203,836백만(+208%). 재료=2차전지 매출 급증. ★익일 단기 바닥 후 상승(저자 낙주 가능 사례=성공)"
CASE-0013,13,성공,2022-09-26,한미글로벌,053690,낙폭과대(낙주),화살표일,낙폭과대(낙주)/화살표일,G4910,"스윙 3권 03_3권 p.326 / G4910 + KRX 실측(2026-08-05 대조, 전 항목 일치)","화살표 정보 박스: O 23,650(-1.87%) / H 23,750(-1.45%) / L 19,750(-18.05%) / C 19,900(-17.43%) / 거래대금 54,602백만(+51%). 재료=네옴시티. ★익일 단기 바닥 후 상승(저자 낙주 가능 사례=성공)"
